group	failed_pair	candidate	candidate_psa	candidate_frames	same_group_hint	prev_last_to_candidate_first	candidate_last_to_next_first	prev_match	next_match	bridge_status	sample_count_start	sample_count_end	original_average_diff
status|mn_cdkcn_00-2_status1_4	mn_cdkcn_00-2_ani__att_status1_4_06 -> mn_cdkcn_00-2_ani__att_status1_4_07	mn_cdkcn_00_ani__att_status1_4_11_old	Assets\KamenAsset\Models\v1\UModel_KamenSearch\MN_CDKCN_00\AnimSet\mn_cdkcn_00_ani.psa	75	YES	0.787248	0.018053	FAIL	PASS	ONE_ENDPOINT	1085	1085	0.06003
status|mn_cdkcn_00-2_status1_4	mn_cdkcn_00-2_ani__att_status1_4_10 -> mn_cdkcn_00-2_ani__att_status1_4_11	mn_cdkcn_00_ani__att_status1_4_11_old	Assets\KamenAsset\Models\v1\UModel_KamenSearch\MN_CDKCN_00\AnimSet\mn_cdkcn_00_ani.psa	75	YES	1.298231	0.017447	FAIL	PASS	ONE_ENDPOINT	1085	1085	0.067557
status|mn_cdkcn_00-2_status1_5	mn_cdkcn_00-2_ani__att_status1_5_06 -> mn_cdkcn_00-2_ani__att_status1_5_07	mn_cdkcn_00_ani__att_status1_5_10_old	Assets\KamenAsset\Models\v1\UModel_KamenSearch\MN_CDKCN_00\AnimSet\mn_cdkcn_00_ani.psa	61	YES	0.965445	0.000083	FAIL	PASS	ONE_ENDPOINT	1085	1085	0.055825
status|mn_cdkcn_00-2_status1_5	mn_cdkcn_00-2_ani__att_status1_5_08 -> mn_cdkcn_00-2_ani__att_status1_5_09	mn_cdkcn_00_ani__att_status1_5_09_old	Assets\KamenAsset\Models\v1\UModel_KamenSearch\MN_CDKCN_00\AnimSet\mn_cdkcn_00_ani.psa	45	YES	0.649271	0.000050	FAIL	PASS	ONE_ENDPOINT	1085	1085	0.055887
status|mn_cdkcn_00_status1_4	mn_cdkcn_00_ani__att_status1_4_06 -> mn_cdkcn_00_ani__att_status1_4_07	mn_cdkcn_00_ani__att_status1_4_11_old	Assets\KamenAsset\Models\v1\UModel_KamenSearch\MN_CDKCN_00\AnimSet\mn_cdkcn_00_ani.psa	75	YES	0.787248	0.018053	FAIL	PASS	ONE_ENDPOINT	1085	1085	0.06003
status|mn_cdkcn_00_status1_5	mn_cdkcn_00_ani__att_status1_5_06 -> mn_cdkcn_00_ani__att_status1_5_07	mn_cdkcn_00_ani__att_status1_5_10_old	Assets\KamenAsset\Models\v1\UModel_KamenSearch\MN_CDKCN_00\AnimSet\mn_cdkcn_00_ani.psa	61	YES	0.965445	0.000083	FAIL	PASS	ONE_ENDPOINT	1085	1085	0.055825
status|mn_cdkcn_00_status1_5	mn_cdkcn_00_ani__att_status1_5_08 -> mn_cdkcn_00_ani__att_status1_5_09	mn_cdkcn_00_ani__att_status1_5_09_old	Assets\KamenAsset\Models\v1\UModel_KamenSearch\MN_CDKCN_00\AnimSet\mn_cdkcn_00_ani.psa	45	YES	0.649271	0.002659	FAIL	PASS	ONE_ENDPOINT	1085	1085	0.055887
