package,file,width,height,orange_ratio,bright_orange_ratio,orange_bbox_width,orange_bbox_height,orange_bbox_aspect,avg_orange_r,avg_orange_g,avg_orange_b,left_orange_samples,right_orange_samples,component_score,component_width,component_height,component_aspect,component_area,component_left_height,component_mid_height,component_diamond_ratio,component_left_area_ratio,component_right_area_ratio,component_min_x,component_min_y,component_max_x,component_max_y,score,long_orange_bar,diamond_long_bar,targetstatus_family,source
EFUI_ICONATLAS_C,common_rozalrinstage_raid_img_1.png,828,904,0.021718,0.006711,656.81,229.53,2.8615,138.01,113.22,80.24,380,921,28.0,38.84,14.12,2.75,17,7.06,14.12,0.5,0.2941,0.1176,187.16,557.94,222.47,568.53,76.2964,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_ICONATLAS_C\Texture2D\common_rozalrinstage_raid_img_1.png
EFUI_EPICGATESHADOWENTRANCE,epicgateshadowentrance_i18.png,1024,1024,0.00737,0.002274,996.0,708.0,1.4068,135.3,96.46,52.56,333,150,42.0,44.0,4.0,11.0,11,4.0,4.0,1.0,0.3636,0.0909,880.0,812.0,920.0,812.0,75.6611,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_EPICGATESHADOWENTRANCE\Texture2D\epicgateshadowentrance_i18.png
EFUI_ASSAULTRAIDENTRANCEFRAME,assaultraidentranceframe_i26.png,1024,1024,0.00444,0.000854,956.0,960.0,0.9958,130.17,62.97,35.06,276,15,32.6364,156.0,44.0,3.5455,200,16.0,44.0,0.3636,0.1,0.035,200.0,804.0,352.0,844.0,75.2563,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_ASSAULTRAIDENTRANCEFRAME\Texture2D\assaultraidentranceframe_i26.png
EFUI_EPICGATECOMMANDERPROCESS,epicgatecommanderprocess_i52.png,1024,1024,0.013107,0.007935,448.0,684.0,0.655,170.5,83.17,8.29,377,482,39.5,68.0,8.0,8.5,20,4.0,8.0,0.5,0.25,0.1,304.0,152.0,368.0,156.0,75.0097,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_EPICGATECOMMANDERPROCESS\Texture2D\epicgatecommanderprocess_i52.png
EFUI_EPICGATESHADOWENTRANCE,epicgateshadowentrance_i2.png,1024,1024,0.011017,0.001968,672.0,152.0,4.4211,125.24,96.34,59.98,7,715,42.1429,132.0,28.0,4.7143,160,28.0,28.0,1.0,0.2687,0.075,864.0,228.0,992.0,252.0,74.6125,True,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_EPICGATESHADOWENTRANCE\Texture2D\epicgateshadowentrance_i2.png
EFUI_REVERSERUINKURZAN,reverseruinentrancekurzan_loc_int_i7.png,1024,1024,0.012146,0.011139,1016.0,956.0,1.0628,199.81,140.57,55.98,49,747,28.0,96.0,64.0,1.5,195,60.0,64.0,0.9375,0.3487,0.1026,900.0,444.0,992.0,504.0,74.1554,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_REVERSERUINKURZAN\Texture2D\reverseruinentrancekurzan_loc_int_i7.png
EFUI_EVENTBARTER,eventbarter_i1b.png,1024,1024,0.013901,0.012085,332.0,708.0,0.4689,206.47,128.44,27.64,0,911,37.3846,244.0,104.0,2.3462,438,100.0,104.0,0.9615,0.3105,0.2283,652.0,604.0,892.0,704.0,73.9429,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_EVENTBARTER\Texture2D\eventbarter_i1b.png
EFUI_COLOSSEUM,colosseumentrance_ib6.png,1024,1024,0.021286,0.004501,440.0,252.0,1.746,123.93,86.71,51.76,1165,230,40.6667,152.0,36.0,4.2222,165,20.0,36.0,0.5556,0.1333,0.0485,292.0,4.0,440.0,36.0,73.354,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_COLOSSEUM\Texture2D\colosseumentrance_ib6.png
EFUI_BACKGROUNDIMG,raid_img_06.png,1188,656,0.009918,0.002576,737.86,459.42,1.6061,131.06,83.8,65.46,19,339,35.0,32.48,32.48,1.0,20,27.84,9.28,3.0,0.65,0.1,663.61,598.64,691.45,626.48,72.0599,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_BACKGROUNDIMG\Texture2D\raid_img_06.png
EFUI_BATTLEFIELDENTRANCE,battlefieldentrance_i1eb_nopack.png,340,328,0.017238,0.007338,306.8,232.42,1.32,141.28,110.95,48.23,401,689,35.5,47.81,22.58,2.1176,72,15.94,10.62,1.5,0.4306,0.0833,199.22,209.84,245.7,231.09,71.2875,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_BATTLEFIELDENTRANCE\Texture2D\battlefieldentrance_i1eb_nopack.png
EFUI_EPICRAIDENTRANCE,epicraidentrance_i22.png,1024,1024,0.005539,0.001999,812.0,988.0,0.8219,136.63,97.87,51.24,243,120,28.0,48.0,28.0,1.7143,72,28.0,28.0,1.0,0.2778,0.0556,964.0,508.0,1008.0,532.0,70.4762,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_EPICRAIDENTRANCE\Texture2D\epicraidentrance_i22.png
